"obs","idnumber","salary","lsalary","educ","salbegin","lsalbegin","male","minority","jobcat"
395,395,22.65,3.12015985192904,12,11.25,2.42036812865043,0,0,1
396,396,20.85,3.03735394824481,12,11.25,2.42036812865043,0,0,1
397,397,22.95,3.13331793650655,12,12.3,2.50959926237837,0,0,1
398,398,30.6,3.42100000895834,12,12.45,2.52172062291072,0,0,1
399,399,20.4,3.01553490085017,12,11.25,2.42036812865043,0,0,1
400,400,23.85,3.17178421733435,12,12.75,2.54553127160443,0,0,1
401,401,22.8,3.1267605359604,12,11.25,2.42036812865043,0,0,1
402,402,20.7,3.03013370027132,12,11.25,2.42036812865043,0,0,1
403,403,21.3,3.05870707271538,12,11.25,2.42036812865043,0,1,1
404,404,24.3,3.1904763503465,12,15,2.70805020110221,0,1,1
405,405,19.65,2.97807733831527,12,13.95,2.63547950826737,0,1,1
406,406,60,4.0943445622221,17,32.49,3.48093234968101,1,0,3
407,407,30.3,3.41114771251532,15,15.75,2.75684036527164,1,0,1
408,408,61.25,4.11496384942484,19,33,3.49650756146648,1,0,3
409,409,36,3.58351893845611,19,19.5,2.9704144655697,1,0,1
410,410,25.2,3.22684399451738,8,18.75,2.93119375241642,0,0,1
411,411,16.2,2.78501124223834,12,10.2,2.32238772029023,0,0,1
412,412,22.8,3.1267605359604,12,11.25,2.42036812865043,0,0,1
413,413,43.5,3.77276093809464,16,19.5,2.9704144655697,0,0,3
414,414,30.3,3.41114771251532,8,15.75,2.75684036527164,1,1,2
415,415,31.95,3.46417218082354,15,15.75,2.75684036527164,1,1,1
416,416,35.25,3.56246552925828,15,13.5,2.60268968544438,1,0,1
417,417,37.8,3.63230910262554,15,15,2.70805020110221,1,0,1
418,418,31.2,3.44041809481544,15,15.75,2.75684036527164,1,0,1
419,419,29.4,3.38099467434464,15,16.5,2.80336038090653,1,0,1
420,420,70,4.24849524204936,19,35.04,3.55649026606819,1,0,3
421,421,33.9,3.5234150143864,15,15.75,2.75684036527164,1,0,1
422,422,27.15,3.30137704637994,15,16.5,2.80336038090653,1,0,1
423,423,22.2,3.10009228887823,12,13.8,2.62466859216316,0,0,1
424,424,31.35,3.44521426707893,15,11.1,2.40694510831829,0,0,1
425,425,20.85,3.03735394824481,12,13.5,2.60268968544438,0,0,1
426,426,33.3,3.5055573969864,16,17.49,2.86162928903051,1,1,1
427,427,26.25,3.26766598903763,8,16.05,2.77570884957602,1,1,1
428,428,31.95,3.46417218082354,15,15.75,2.75684036527164,1,1,1
429,429,30,3.40119738166216,8,15.75,2.75684036527164,1,1,2
430,430,66.25,4.19343546486633,19,34.98,3.55477646959046,1,1,3
431,431,86.25,4.45725005591147,18,45,3.80666248977032,1,0,3
432,432,30.75,3.42588999425253,12,15,2.70805020110221,1,0,1
433,433,33.54,3.51273875639506,12,15.75,2.75684036527164,1,0,1
434,434,34.95,3.55391846867982,16,20.25,3.00815479355255,1,0,1
435,435,40.35,3.69759139471596,15,16.5,2.80336038090653,1,0,1
436,436,30.27,3.41015712303363,12,15.75,2.75684036527164,1,0,1
437,437,26.25,3.26766598903763,8,16.05,2.77570884957602,1,0,1
438,438,32.4,3.47815842279828,15,15,2.70805020110221,1,0,1
439,439,20.4,3.01553490085017,12,11.25,2.42036812865043,0,0,1
440,440,24.15,3.18428438009858,8,12.75,2.54553127160443,0,0,1
441,441,23.85,3.17178421733435,15,13.5,2.60268968544438,0,0,1
442,442,29.7,3.39114704580865,12,13.5,2.60268968544438,0,0,1
443,443,21.6,3.07269331469012,8,13.5,2.60268968544438,0,0,1
444,444,24.45,3.19663021592088,12,15.75,2.75684036527164,0,0,1
445,445,28.05,3.33398863196871,15,16.5,2.80336038090653,1,1,1
446,446,100,4.60517018598809,16,44.1,3.7864597824528,1,1,3
447,447,49,3.89182029811063,15,20.55,3.02286094094224,1,1,1
448,448,16.35,2.79422789734326,12,10.2,2.32238772029023,0,1,1
449,449,70,4.24849524204936,16,21.75,3.07961375753469,1,0,3
450,450,55,4.00733318523247,19,34.98,3.55477646959046,1,0,3
451,451,28.5,3.3499040872746,15,14.25,2.65675690671466,1,0,1
452,452,28.8,3.3603753871419,12,18,2.89037175789616,1,0,1
453,453,24.45,3.19663021592088,15,15.75,2.75684036527164,1,0,1
454,454,90.625,4.50673011317484,19,31.25,3.44201937618241,1,0,3
455,455,43.65,3.77620328228561,16,19.5,2.9704144655697,1,0,3
456,456,75,4.31748811353631,19,42.51,3.7497393423707,1,0,3
457,457,31.65,3.45473814859019,15,14.25,2.65675690671466,1,0,1
458,458,61.875,4.12511622088885,19,28.74,3.35828988065088,1,0,3
459,459,21.75,3.07961375753469,12,11.25,2.42036812865043,0,0,1
460,460,22.5,3.11351530921037,12,12.75,2.54553127160443,0,0,1
461,461,21.6,3.07269331469012,8,13.5,2.60268968544438,0,0,1
462,462,34.41,3.53834721980939,16,19.5,2.9704144655697,0,0,3
463,463,20.7,3.03013370027132,15,14.25,2.65675690671466,0,0,1
464,464,47.55,3.8617817889914,19,33,3.49650756146648,1,0,3
465,465,33.9,3.5234150143864,12,16.5,2.80336038090653,1,0,1
466,466,23.4,3.15273602236366,12,13.5,2.60268968544438,0,0,1
467,467,32.85,3.49195174493062,16,19.5,2.9704144655697,0,0,1
468,468,55.75,4.02087741034023,16,19.98,2.99473177322041,0,0,3
469,469,25.2,3.22684399451738,15,13.95,2.63547950826737,0,0,1
470,470,26.25,3.26766598903763,12,15.75,2.75684036527164,1,1,1
471,471,26.4,3.27336401015227,15,15.75,2.75684036527164,1,1,1
472,472,39.15,3.66740042243681,15,15.75,2.75684036527164,1,0,1
473,473,21.45,3.06572464537403,12,12.75,2.54553127160443,0,0,1
474,474,29.4,3.38099467434464,12,14.25,2.65675690671466,0,0,1
